"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 09:50:31 GMT 2024","Tue Aug 27 09:50:32 GMT 2024","1414","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch","testCheckingTheDateBillsRepeatsMonthlyAndCheckNextExpectedMatch",""
"skipped","Tue Aug 27 09:50:42 GMT 2024","Tue Aug 27 09:50:42 GMT 2024","0","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts","testSetBillToRepeatHalfYearAndCheckExpectedMonthlyCosts",""
"broken","Tue Aug 27 09:50:37 GMT 2024","Tue Aug 27 09:50:41 GMT 2024","4191","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts","testSetBillToRepeatYearlyAndCheckExpectedMonthlyCosts",""
"passed","Tue Aug 27 09:50:19 GMT 2024","Tue Aug 27 09:50:21 GMT 2024","1847","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testChangeBudgetByFixedAmount","testChangeBudgetByFixedAmount","TC_06.001.03 Validate change budget by 'Set a fixed amount every period'"
"passed","Tue Aug 27 09:50:54 GMT 2024","Tue Aug 27 09:50:56 GMT 2024","1848","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatYearlyAndCheckNextExpectedMatch","testSetBillToRepeatYearlyAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 09:50:25 GMT 2024","Tue Aug 27 09:50:26 GMT 2024","986","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetsAndCorrectForOverspending","testCreateBudgetsAndCorrectForOverspending","TC_06.000.03 Validate create budgets with 'Add an amount every period and correct for overspending'"
"passed","Tue Aug 27 09:50:47 GMT 2024","Tue Aug 27 09:50:49 GMT 2024","2184","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch","testSetBillToRepeatEveryHalfYearAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 09:50:17 GMT 2024","Tue Aug 27 09:50:18 GMT 2024","333","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetsCorrectMonthAndYear","testBudgetsCorrectMonthAndYear","TC_06.002.01 Correct month and year"
"passed","Tue Aug 27 09:50:43 GMT 2024","Tue Aug 27 09:50:45 GMT 2024","2033","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatDailyAndCheckNextExpectedMatch","testSetBillToRepeatDailyAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 09:50:50 GMT 2024","Tue Aug 27 09:50:52 GMT 2024","2057","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch","testSetBillToRepeatWeeklyAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 09:50:22 GMT 2024","Tue Aug 27 09:50:23 GMT 2024","992","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateBudgetByAddAmountEveryPeriod","testCreateBudgetByAddAmountEveryPeriod","TC_06.000.02 Validate create budget with 'Add an amount every period'"
"passed","Tue Aug 27 09:50:34 GMT 2024","Tue Aug 27 09:50:36 GMT 2024","1916","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch","testSetBillToRepeatQuarterlyAndCheckNextExpectedMatch",""
"passed","Tue Aug 27 09:50:10 GMT 2024","Tue Aug 27 09:50:12 GMT 2024","1985","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddInvalidAmount","testBudgetAddInvalidAmount","06.001.02 Add invalid amount"
"passed","Tue Aug 27 09:50:14 GMT 2024","Tue Aug 27 09:50:16 GMT 2024","1923","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testBudgetAddValidAmount","testBudgetAddValidAmount","06.001.01 Validate add valid amount"
"passed","Tue Aug 27 09:50:27 GMT 2024","Tue Aug 27 09:50:29 GMT 2024","1839","Surefire suite","Surefire test","test.BillsTest","test.BillsTest","testCreateNewBills","testCreateNewBills",""
"passed","Tue Aug 27 09:50:08 GMT 2024","Tue Aug 27 09:50:08 GMT 2024","900","Surefire suite","Surefire test","test.BudgetsTest","test.BudgetsTest","testCreateValidBudgets","testCreateValidBudgets","06.000.01 Validate creation of a new budget"
